energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,artist,track_name,popularity,success
0.652,0.266,154.035,0.356,0.18,0.0,4,0.802,8,225982,-5.142,0.452,1,Tymek,Rainman,65,1
0.766,0.129,123.062,0.0568,0.0219,6.81e-06,4,0.677,6,190488,-6.896,0.198,1,twocolors,Lovefool,82,1
0.661,0.0987,197.81,0.141,0.709,0.0,4,0.588,8,220606,-5.831,0.908,1,F.HERO,จำเก่ง (Slipped Your Mind),65,1
0.709,0.333,175.985,0.105,0.461,0.0,4,0.565,10,125470,-6.845,0.879,1,TIX,Deg Eller Ingenting,67,1
0.517,0.173,102.008,0.0672,0.652,0.00527,4,0.757,8,185120,-8.499,0.218,0,Hatik,La meilleure,73,1
0.403,0.141,80.056,0.0577,0.743,0.0,4,0.653,0,216500,-8.279,0.398,1,AMEE,"ex's hate me, Pt. 2",57,1
0.872,0.15,106.035,0.199,0.146,0.0,4,0.665,5,276688,-4.361,0.233,1,MiyaGi & Endspiel,I Got Love,67,1
0.607,0.143,123.994,0.0438,0.562,6.47e-06,4,0.756,7,250169,-6.006,0.4,0,FRANKIEONTHEGUITAR,"Tempo (feat. Tóy Tóy T-Rex, LON3R JOHNY & BISPO)",61,1
0.689,0.0784,144.015,0.0615,0.181,2.55e-05,4,0.811,0,129782,-5.113,0.663,0,Luísa Sonza,BRABA,80,1
0.848,0.0783,179.87,0.0858,0.0861,7.14e-06,4,0.685,8,163084,-4.561,0.761,0,Bad Bunny,La Difícil,86,1
0.704,0.109,167.906,0.0648,0.186,7e-06,4,0.647,11,202052,-4.403,0.585,0,Boza,Odiarte,31,1
0.841,0.173,106.99,0.06,0.0312,0.0,4,0.739,5,199653,-4.162,0.562,1,TWICE,MORE & MORE,69,1
0.362,0.0854,119.993,0.0938,0.0269,0.0134,4,0.92,11,165784,-11.92,0.561,1,Sobel,Impreza,69,1
0.734,0.272,179.885,0.116,0.208,0.0,4,0.598,10,180867,-3.982,0.621,1,Danna Paola,No Bailes Sola,78,1
0.87,0.109,150.145,0.202,0.0266,1.95e-06,4,0.87,9,183066,-4.797,0.83,1,Aitch,Rain,70,1
0.758,0.091,124.004,0.0973,0.117,0.0,4,0.884,0,165605,-6.171,0.591,0,Il Pagante,Portofino,72,1
0.714,0.0874,129.886,0.0892,0.169,0.0,4,0.724,1,151580,-4.443,0.961,0,MC Kevinho,Te gusta,75,1
0.83,0.117,175.997,0.0336,0.303,0.401,4,0.372,2,319750,-5.789,0.535,1,Safeplanet,คำตอบ,56,1
0.647,0.095,88.834,0.19,0.00815,1.65e-05,4,0.688,2,164580,-7.258,0.195,1,Pop Smoke,Got It On Me,86,1
0.66,0.115,113.946,0.049,0.43,0.0,4,0.787,2,169474,-5.81,0.464,0,Viktor Sheen,Oblivion,55,1
0.934,0.277,154.966,0.0539,0.00333,0.0,4,0.466,1,257067,-2.739,0.62,1,Masaki Suda,Sayonara Elegy,51,1
0.585,0.0721,128.014,0.168,0.14,3.52e-06,4,0.951,7,217500,-6.547,0.68,1,5GANG,COCO,42,1
0.658,0.0498,119.987,0.0477,0.0197,0.00746,4,0.952,7,224000,-5.606,0.621,1,LOBODA,Boom Boom,43,1
0.277,0.139,132.552,0.0302,0.87,0.0,5,0.423,6,222139,-7.89,0.298,0,Darin,En säng av rosor,70,1
0.759,0.0311,130.539,0.146,0.0586,0.0,4,0.955,7,193500,-3.521,0.889,1,Kapitán Demo,ADHD,0,1
0.692,0.201,163.99,0.0555,0.0718,0.0,4,0.734,9,205694,-7.434,0.838,1,Bølgen,Er ikke verre,71,1
0.697,0.334,95.012,0.0757,0.188,0.0,4,0.682,3,220280,-4.276,0.57,0,Soolking,Meleğim,71,1
0.782,0.155,104.033,0.152,0.66,0.0249,4,0.757,11,170769,-6.58,0.46,1,Lost Frequencies,Love To Go,54,1
0.575,0.13,139.9,0.206,0.314,1.22e-05,4,0.701,8,225036,-9.062,0.471,0,Patron,Siyah,72,1
0.509,0.0802,97.994,0.26,0.514,1.33e-06,4,0.909,9,169747,-7.985,0.653,0,Ricky Rich,Bless Me,66,1
0.49,0.076,103.021,0.213,0.0618,0.0,4,0.702,1,238860,-6.828,0.59,1,Lil Vinceyy,Chinita Girl,74,1
0.72,0.956,141.954,0.0481,0.159,0.0,4,0.605,7,201856,-3.616,0.296,0,Gustavo Mioto,Com ou Sem Mim - Ao Vivo,69,1
0.666,0.144,129.814,0.0393,0.4,0.0,4,0.547,6,239795,-5.694,0.43,1,831,"想見你想見你想見你(電視劇""想見你""片尾曲)",71,1
0.234,0.12,87.103,0.0285,0.777,0.0,4,0.691,3,248448,-6.441,0.209,1,Anna Hamilton,Bad Liar,72,1
0.331,0.201,105.015,0.0302,0.363,0.0,3,0.656,2,247429,-9.88,0.5,1,Chillies,Có Em Đời Bỗng Vui,57,1
0.647,0.136,96.964,0.0827,0.59,0.000224,4,0.746,8,222004,-6.082,0.222,1,Mente Fuerte,Caliente,57,1
0.647,0.0801,92.979,0.186,0.124,0.0,4,0.64,5,197867,-8.114,0.546,0,Ed Sheeran,Beautiful People (feat. Khalid),79,1
0.665,0.16,189.984,0.189,0.149,8.33e-06,4,0.656,1,307435,-1.387,0.569,1,Super Yei,La Forma en Que Me Miras,73,1
0.666,0.235,154.862,0.536,0.167,0.0,4,0.786,6,164203,-5.266,0.737,1,AK AUSSERKONTROLLE,In meinem Benz,81,1
0.584,0.318,152.276,0.0369,0.177,3.55e-06,4,0.334,7,242250,-7.374,0.552,1,Three Man Down,ฝันถึงแฟนเก่า,67,1
0.723,0.185,145.013,0.26,0.0631,0.0,4,0.904,11,227478,-5.224,0.835,0,Jack Harlow,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",92,1
0.677,0.165,78.967,0.19,0.357,0.0,4,0.816,11,172747,-4.067,0.533,0,Tones And I,Ur So F**kInG cOoL,83,1
0.805,0.124,96.991,0.0594,0.0653,1.14e-05,4,0.88,2,143666,-3.764,0.524,0,Dhurata Dora,Fajet,72,1
0.64,0.131,92.989,0.272,0.269,0.0,4,0.813,2,147076,-5.908,0.488,1,Aya Nakamura,Jolie nana,82,1
0.644,0.0927,126.029,0.0335,0.151,0.0,4,0.773,5,222070,-6.092,0.801,0,Arttu Wiskari,Tässäkö tää oli? (feat. Leavings-Orkesteri),66,1
0.793,0.363,116.0,0.0291,0.00851,0.000231,4,0.744,7,199655,-6.02,0.325,0,LA Vision,Hollywood,74,1
0.679,0.274,95.994,0.0446,0.0842,1.25e-05,4,0.692,5,230205,-6.579,0.422,0,Melisses,Viktoria,57,1
0.846,0.0906,92.064,0.178,0.214,0.0,4,0.798,7,230877,-3.761,0.76,0,Ozuna,Gistro Amarillo,68,1
0.641,0.109,184.021,0.0389,0.00565,3.63e-06,4,0.648,7,180348,-5.521,0.505,1,Ava Max,Who's Laughing Now,65,1
0.438,0.126,120.034,0.292,0.0592,0.000608,4,0.937,0,264064,-9.278,0.457,1,Gazapizm,Sağı Solu Kes,70,1
0.534,0.105,157.991,0.0868,0.17,0.0,4,0.703,9,176440,-6.302,0.399,1,Greeicy,Los Consejos,74,1
0.632,0.0744,93.696,0.266,0.448,0.0,4,0.589,2,212007,-7.382,0.44,0,Tayc,N'y pense plus,71,1
0.937,0.0875,127.975,0.0493,0.11,0.0,4,0.712,4,202500,-4.988,0.834,0,Anelia,Million,41,1
0.594,0.0631,136.95,0.345,0.242,0.0,4,0.838,11,257400,-8.314,0.324,0,Mata,Patointeligencja,63,1
0.263,0.0749,129.86,0.0332,0.806,0.0,4,0.456,0,255894,-10.63,0.111,1,Taylor Swift,my tears ricochet,87,1
0.698,0.102,80.003,0.091,0.571,0.0,4,0.669,11,175500,-4.613,0.286,1,高爾宣 OSN,Without You,67,1
0.433,0.129,134.862,0.287,0.0234,0.00598,4,0.689,4,188486,-11.607,0.156,0,Reket,Ma Kuulsin Seda Läbi Viinamarjaväädi,39,1
0.522,0.114,74.05,0.0367,0.113,4.91e-05,4,0.572,2,217197,-9.095,0.498,1,Ben&Ben,Maybe The Night,71,1
0.792,0.0874,134.96,0.0405,0.117,0.000773,4,0.758,3,188040,-6.272,0.866,0,Mikael Gabriel,Oli aikoi,64,1
0.648,0.832,95.001,0.0365,0.0889,0.0,4,0.661,11,184753,-7.759,0.66,1,Ringnes-Ronny,Valhalla,69,1
0.899,0.0693,138.145,0.078,0.041,3.96e-06,4,0.827,1,146087,-3.377,0.707,1,SNIK,TopBoy,58,1
0.449,0.113,122.947,0.347,0.629,0.0,4,0.735,10,220488,-7.507,0.0397,1,Drake,Chicago Freestyle (feat. Giveon),88,1
0.702,0.11,126.016,0.0382,0.388,0.00872,4,0.789,6,176973,-6.555,0.572,0,Bolémvn,10K,75,1
0.617,0.0625,193.896,0.182,0.0217,0.0,4,0.755,9,202887,-5.144,0.745,1,Rauw Alejandro,Tattoo,87,1
0.545,0.15,106.067,0.19,0.246,0.000131,4,0.861,3,133742,-6.776,0.629,0,RH,Klovne,63,1
0.581,0.25,130.033,0.0424,0.537,0.000345,4,0.613,0,239560,-8.588,0.551,0,Taylor Swift,cardigan,91,1
0.371,0.428,128.081,0.0529,0.807,0.0,4,0.763,4,221270,-9.274,0.339,0,Zynakal,Sakit,60,1
0.567,0.0949,93.68,0.0379,0.31,0.0,4,0.486,1,211254,-6.456,0.154,1,Maroon 5,Nobody's Love,82,1
0.738,0.118,141.91,0.231,0.583,0.0,4,0.596,4,221378,-9.567,0.164,0,Miyagi & Andy Panda,Kosandra,62,1
0.546,0.102,147.986,0.0575,0.3,0.0,4,0.806,9,212867,-6.637,0.874,1,Justin Bieber,Intentions (feat. Quavo),87,1
0.559,0.378,96.997,0.0346,0.6,0.0,4,0.687,7,152165,-5.871,0.789,1,Harith Zazman,Cute (Stop Lah Being So Cute),58,1
0.57,0.121,115.086,0.0636,0.267,0.0,4,0.745,3,208696,-10.411,0.539,0,Viktor Sheen,Až na měsíc,58,1
0.919,0.0598,94.993,0.0938,0.101,0.00343,4,0.805,1,188606,-1.294,0.494,1,Jasmine Sandlas,Illegal Weapon 2.0,60,1
0.567,0.123,122.971,0.202,0.326,1.74e-06,4,0.851,5,145587,-6.506,0.338,1,Gambi,MACINTOSH,69,1
0.589,0.162,116.934,0.0485,0.0863,0.0,4,0.801,7,180147,-5.157,0.58,1,BENEE,Glitter,77,1
0.776,0.115,177.925,0.23,0.263,0.000135,4,0.653,1,177978,-7.564,0.123,1,Konex,VOILÀ,35,1
0.917,0.26,176.068,0.259,0.00313,0.0,4,0.544,1,223636,-3.403,0.686,0,Diljit Dosanjh,G.O.A.T.,64,1
0.7,0.137,116.019,0.0399,0.267,6.69e-05,4,0.81,4,187560,-5.664,0.193,0,K-391,End of Time,77,1
0.684,0.243,131.97,0.0744,0.0424,3.1e-05,4,0.626,0,160000,-8.44,0.484,0,Cream Soda,Плачу на техно,60,1
0.875,0.162,116.964,0.131,0.0358,3.37e-05,4,0.79,8,194346,-3.59,0.581,0,Elodie,Guaranà,78,1
0.626,0.112,100.031,0.0399,0.162,0.0,4,0.863,5,172563,-6.805,0.369,0,The Limba,X.O,67,1
0.476,0.079,184.061,0.0393,0.84,0.000137,4,0.634,4,252953,-7.714,0.425,0,Đen,Lối Nhỏ,59,1
0.898,0.0832,120.04,0.124,0.124,7.2e-06,4,0.499,8,207668,-4.181,0.618,0,NOTD,I Don't Know Why,77,1
0.857,0.0723,124.963,0.052,0.0855,9.98e-05,4,0.712,1,176640,-4.922,0.207,0,Chico Rose,Somebody's Watching Me,73,1
0.634,0.109,75.013,0.0337,0.0447,0.0,4,0.545,10,216619,-6.862,0.372,1,Ingó Veðurguð,Takk fyrir mig,48,1
0.806,0.681,176.212,0.207,0.16,0.0,4,0.428,9,202597,-6.317,0.637,1,Wesley Safadão,Despedida - Ao Vivo,79,1
0.531,0.125,149.393,0.0384,0.393,0.0016,4,0.678,0,216265,-10.92,0.574,1,Ardhito Pramono,bitterlove,70,1
0.982,0.378,160.072,0.0621,0.42,5.88e-06,4,0.639,5,201351,-3.75,0.781,0,Dessita,Поредната цигара,38,1
0.886,0.0927,163.978,0.113,0.0674,0.0,4,0.646,7,219512,-4.836,0.674,1,Galin,Prosto sex,43,1
0.192,0.653,111.576,0.0387,0.882,0.51,5,0.292,9,66958,-18.803,0.0798,0,KESI,BO4L,45,1
0.629,0.084,88.064,0.185,0.183,0.0,4,0.827,6,187500,-3.966,0.486,0,Juanfran,Como Llora,84,1
0.895,0.0572,160.069,0.49,0.22,0.0,4,0.826,0,162000,-4.828,0.623,0,Rennan da Penha,Talarica,50,1
0.49,0.113,81.604,0.209,0.289,3.04e-06,4,0.83,1,247059,-8.82,0.845,0,Drake,Toosie Slide,86,1
0.793,0.0951,123.95,0.083,0.0123,0.0,4,0.793,11,183290,-4.521,0.679,0,Dua Lipa,Don't Start Now,88,1
0.584,0.224,140.208,0.379,0.815,0.0,4,0.858,5,182143,-7.48,0.714,1,Digga D,Woi,73,1
0.51,0.325,139.762,0.0422,0.391,0.0,4,0.537,0,239622,-6.524,0.304,1,LSP,Номера,57,1
0.821,0.0634,109.955,0.104,0.0344,0.0,4,0.688,4,213851,-6.338,0.67,0,5MIINUST,Paaristõuked,46,1
0.665,0.0967,127.201,0.162,0.228,1.25e-05,4,0.78,11,185711,-6.017,0.592,0,Branco,LA DANZA,63,1
0.626,0.0948,96.128,0.357,0.55,0.000311,4,0.772,5,181875,-7.371,0.544,0,Julinho Ksd,Mama Ta Xinti,58,1
0.68,0.119,124.984,0.0451,0.212,9.08e-06,4,0.779,11,184800,-6.159,0.678,0,Doctor Victor,Sumargleðin (feat. Gummi Tóta & Ingó Veðurguð),45,1
0.691,0.172,161.956,0.0661,0.106,9.06e-05,4,0.753,1,347264,-3.666,0.301,1,El Alfa,A Correr los Lakers (Remix),72,1
0.845,0.0527,126.989,0.0503,0.35,0.00168,4,0.843,0,210624,-2.344,0.898,1,Anuel AA,El Manual,83,1
0.446,0.166,143.078,0.0351,0.337,0.0,4,0.63,1,202193,-8.9,0.177,1,Juice WRLD,Life's A Mess (feat. Halsey),88,1
0.319,0.111,79.628,0.0303,0.972,2.94e-05,4,0.393,6,220163,-9.116,0.131,1,Pamungkas,I Love You but I'm Letting Go,70,1
0.486,0.1,121.036,0.161,0.162,0.599,4,0.937,2,192982,-8.6,0.644,0,Nublu,öölaps!,44,1
0.514,0.316,157.869,0.0274,0.159,8.33e-06,4,0.467,0,256228,-9.007,0.599,1,Andmesh,Kumau Dia,69,1
0.697,0.155,111.996,0.205,0.512,0.0,4,0.878,1,180000,-3.862,0.782,1,Dame,Zrazu,46,1
0.593,0.17,98.078,0.0988,0.688,0.000161,4,0.825,6,209755,-6.401,0.54,0,Tones And I,Dance Monkey,71,1
0.536,0.338,92.984,0.308,0.398,0.0,4,0.897,1,176129,-5.612,0.71,0,Tessa,Ben,61,1
0.379,0.144,121.991,0.0334,0.826,0.0,4,0.708,0,196955,-8.809,0.224,1,Terence Lam,一人之境,56,1
0.902,0.333,130.02,0.034,0.0591,0.0,4,0.686,0,198000,-2.657,0.901,0,YOASOBI,ハルジオン,73,1
0.491,0.107,98.543,0.109,0.386,0.00088,4,0.788,8,146028,-9.884,0.271,1,Ufo361,Emotions 2.0,80,1
0.548,0.195,150.189,0.0258,0.471,0.0,4,0.607,2,130760,-3.453,0.827,1,Christian Nodal,Amor Tóxico,77,1
0.969,0.533,92.524,0.0591,0.00585,0.0,4,0.422,7,223187,-0.824,0.496,1,Novelbright,Walking with you,71,1
0.668,0.0734,87.972,0.113,0.11,0.000529,4,0.883,9,226533,-2.957,0.676,1,Dímelo Flow,Sigues Con El,84,1
0.681,0.34,124.027,0.173,0.173,0.0,4,0.809,5,219693,-5.415,0.571,0,Dabro,Юность,61,1
0.632,0.103,152.014,0.0273,0.447,0.0,4,0.502,0,307067,-4.612,0.308,1,Mrs. GREEN APPLE,点描の唄,71,1
0.846,0.286,104.932,0.0337,0.132,6.53e-05,4,0.361,4,316991,-3.717,0.443,1,Dear Jane,2084,53,1
0.774,0.324,93.97,0.0331,0.0899,0.0,4,0.536,0,228500,-5.869,0.746,1,Three Man Down,เลือกคนที่เขารักเรา,63,1
0.347,0.0997,139.473,0.04,0.936,4.28e-06,4,0.39,4,258731,-8.637,0.179,1,LaLa Hsu,在你不知道的时间里爱你很久 - 电影《我在时间尽头等你》片尾曲,52,1
0.704,0.155,124.972,0.0423,0.167,0.0,4,0.696,1,183000,-7.876,0.426,1,Tanishk Bagchi,Makhna,71,1
0.452,0.108,83.433,0.055,0.838,7.73e-05,4,0.653,4,252881,-11.143,0.45,0,Taylor Swift,invisible string,86,1
0.544,0.509,120.032,0.397,0.349,0.0,4,0.899,11,192000,-9.696,0.826,1,ClubDub,Deyja Fyrir Stelpurnar Mínar,46,1
0.48,0.0704,143.945,0.0604,0.248,0.0,4,0.72,10,235632,-8.552,0.464,1,G.E.M.,句號,60,1
0.611,0.0924,188.405,0.309,0.432,0.0,4,0.596,4,239729,-7.822,0.631,0,Lil PoP,Overdose,55,1
0.526,0.179,149.973,0.161,0.465,1.51e-05,4,0.801,4,174410,-9.818,0.915,0,Dino d'Santiago,Kriolu (feat. Julinho KSD),57,1
0.904,0.105,103.039,0.0431,0.0531,8.03e-06,4,0.7,2,181102,-4.03,0.347,1,Jubël,Someone,75,1
0.586,0.309,179.836,0.0799,0.458,0.0,4,0.595,7,146471,-7.663,0.764,1,Suzan & Freek,Weg Van Jou,71,1
0.741,0.121,79.968,0.402,0.447,0.0,4,0.75,9,209180,-4.43,0.495,1,Yandel,CANCIÓN CON YANDEL,83,1
0.668,0.139,129.948,0.0366,0.0434,0.0,4,0.794,9,183702,-6.24,0.789,1,william,Penelope (feat. Clever),70,1
0.617,0.334,72.023,0.0263,0.0303,0.0,4,0.528,2,304813,-5.07,0.497,1,wacci,No Regret,47,1
0.485,0.12,170.063,0.0359,0.684,0.0,4,0.49,1,291529,-6.632,0.329,1,ERIK,"Em Không Sai, Chúng Ta Sai",58,1
0.462,0.351,104.303,0.0334,0.703,0.0,4,0.651,7,238159,-7.006,0.556,1,Dudu Aharon,בחלומות שלנו,53,1
0.669,0.178,82.997,0.0419,0.244,0.0,4,0.598,4,227000,-5.506,0.788,1,Polycat,เวลาเธอยิ้ม,59,1
0.762,0.0863,120.042,0.0395,0.192,0.00244,4,0.695,0,215280,-3.497,0.553,1,Post Malone,Circles,91,1
0.637,0.127,140.009,0.0845,0.0506,0.00221,4,0.898,4,196286,-4.773,0.386,1,T. Danny,Megmondtam,50,1
0.53,0.196,142.013,0.356,0.0579,0.113,4,0.869,11,197133,-7.234,0.513,1,Luciano,Never Know (feat. SHIRIN DAVID),64,1
0.47,0.616,119.025,0.39,0.473,0.000228,3,0.54,8,150968,-6.364,0.101,1,Geolier,Capo,71,1
0.503,0.11,75.008,0.206,0.527,0.0,4,0.79,1,168800,-9.301,0.241,1,Dzsúdló,Lej,52,1
0.669,0.0569,164.062,0.282,0.111,0.0,4,0.863,6,260545,-5.952,0.947,0,Super Yei,"Lean (feat. Towy, Osquel, Beltito & Sammy & Falsetto)",77,1
0.545,0.115,99.93,0.271,0.132,0.000151,4,0.761,11,211319,-7.311,0.346,0,Max Korzh,Малолетка,59,1
0.446,0.118,126.025,0.162,0.0523,0.0,4,0.797,11,169844,-9.943,0.228,1,kizaru,Narcos,50,1
0.424,0.0978,134.978,0.0422,0.478,2.64e-05,4,0.794,2,209319,-8.608,0.423,1,Velvet,Medžiai Melagiai,42,1
0.416,0.114,139.821,0.0325,0.756,0.0,4,0.528,10,267531,-8.492,0.347,1,Charmaine Fong,假使世界原來不像你預期,54,1
0.536,0.25,68.475,0.056,0.286,7.37e-06,5,0.423,1,121800,-5.474,0.218,1,Ramil',Сияй,63,1
0.878,0.0468,125.529,0.0634,0.0038,0.0,4,0.598,10,213613,-3.144,0.901,1,Mrs. GREEN APPLE,ロマンチシズム,68,1
0.829,0.137,183.975,0.103,0.0218,0.0,4,0.583,6,163275,-4.715,0.393,1,Mark Forster,Übermorgen,77,1
0.887,0.0969,126.096,0.194,0.0497,0.0,4,0.728,0,205813,-3.731,0.802,1,Ego,Zijeme len raz,50,1
0.664,0.1,125.979,0.0833,0.702,0.00176,4,0.811,0,183212,-7.273,0.636,1,Booba,Dolce Vita,73,1
0.703,0.308,125.941,0.0676,0.302,0.0,4,0.736,10,184967,-6.09,0.795,0,Itay Levi,רק בנות,52,1
0.69,0.335,173.716,0.0549,0.0286,0.0,4,0.379,4,295600,-4.79,0.288,1,ONE OK ROCK,Wherever you are,68,1
0.546,0.172,144.0,0.0282,0.32,0.0,4,0.651,10,229500,-7.522,0.608,0,The Parkinson,แค่นี้...พอ,61,1
0.639,0.147,98.461,0.228,0.218,3.91e-05,4,0.692,2,212331,-5.336,0.511,1,Don Patricio,Pa toda la vida (feat. Mozart La Para),78,1
0.87,0.333,152.37,0.0851,0.24,0.0,4,0.528,11,181930,-3.123,0.714,1,Jorge & Mateus,Cheirosa - Ao Vivo,78,1
0.579,0.172,99.994,0.0813,0.333,0.000355,4,0.801,11,212406,-4.78,0.231,0,Harry Nach,Tak Tiki Tak,82,1
0.422,0.11,180.006,0.294,0.0319,0.00011,4,0.744,1,202667,-8.946,0.493,1,6ix9ine,TROLLZ (with Nicki Minaj),85,1
0.663,0.0922,149.91,0.142,0.0624,4.49e-06,4,0.623,11,172200,-6.458,0.346,1,Ernia,Superclassico,78,1
0.657,0.0607,114.97,0.042,0.011,0.000449,4,0.921,2,181227,-5.398,0.842,0,Auður,Enginn eins og þú,46,1
0.597,0.328,131.036,0.0362,0.355,0.0,4,0.67,11,176000,-9.85,0.778,0,Hanan Ben Ari,אם תרצי,55,1
0.508,0.14,120.083,0.0675,0.326,2.44e-06,4,0.787,0,122000,-8.938,0.338,1,Boulevard Depo,Friendly Fire - Prod. Avepack,62,1
