energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,artist,track_name,popularity
0.574,0.0983,91.769,0.0276,0.23,0.0105,4,0.617,6,208453,-9.768,0.396,1,The Neighbourhood,Cherry Flavoured,61
0.857,0.066,120.052,0.0402,0.0305,0.000143,4,0.649,6,189250,-5.727,0.664,0,Fancy Inc,Better Days (feat. Wieller),31
0.697,0.106,168.063,0.0824,0.0233,0.000368,4,0.746,1,157143,-7.506,0.91,1,Thiaguinho MT,Chora Bobo,36
0.872,0.357,137.038,0.0568,0.00104,0.000471,4,0.372,0,240217,-3.582,0.273,1,Marilyn Manson,WE ARE CHAOS,61
0.309,0.352,104.745,0.062,0.795,0.132,4,0.444,8,208155,-10.956,0.0875,1,Billie Eilish,my future,80
0.474,0.099,143.783,0.0583,0.569,0.000626,4,0.691,10,179917,-8.742,0.381,0,Sam Smith,My Oasis (feat. Burna Boy),70
0.87,0.0768,172.0,0.0951,0.381,0.000225,4,0.746,4,136545,-4.102,0.774,0,Vítor Fernandes,Piseiro na capital,28
0.595,0.0908,159.856,0.114,0.146,0.0,4,0.582,7,163500,-6.758,0.288,1,Theus Costa,Seu Colchão,39
0.666,0.126,129.863,0.391,0.432,1.41e-05,4,0.909,11,169846,-2.304,0.853,1,Meno Tody,Amassa a Placa 2,45
0.641,0.109,184.021,0.0389,0.00565,3.63e-06,4,0.648,7,180348,-5.521,0.505,1,Ava Max,Who's Laughing Now,65
0.392,0.0986,90.307,0.032,0.667,4.04e-06,4,0.423,9,192698,-12.026,0.273,1,OUTROEU,Se Perder,41
0.673,0.18,115.05,0.0561,0.0991,0.00262,4,0.784,5,192000,-6.337,0.491,0,Nill,Dorothy,31
0.657,0.117,130.218,0.0557,0.678,0.0,4,0.728,1,138461,-1.603,0.375,1,MC Rick,Cupido Fdp 2,39
0.597,0.19,75.063,0.282,0.0999,0.0,4,0.762,5,129655,-5.306,0.267,0,Luísa Sonza,TOMA,57
0.596,0.11,120.121,0.0276,0.156,0.000128,4,0.733,7,230883,-8.704,0.621,0,Mart'nália,Cirandeiro,29
0.723,0.104,121.971,0.0343,0.0119,0.572,4,0.522,6,354099,-9.968,0.139,1,Santti,Tars,30
0.908,0.138,123.977,0.0403,0.00852,0.734,4,0.526,11,276295,-6.316,0.214,0,Vintage Culture,Things,48
0.594,0.109,122.756,0.29,0.339,0.000116,4,0.814,1,151100,-6.34,0.417,0,Borges,Lei Áurea,50
0.814,0.293,144.894,0.044,0.0902,0.0,4,0.791,9,167783,-4.2,0.818,0,Rosa Neon,Fama,33
0.819,0.101,168.044,0.0825,0.0937,0.0,4,0.67,8,174628,-4.816,0.763,1,Yasmin Santos,Cuidado Que Eu Te Supero,48
0.752,0.112,124.998,0.0304,0.0258,0.0,4,0.671,6,195080,-6.806,0.717,0,Lost Frequencies,Don't Leave Me,56
0.831,0.152,125.037,0.0844,0.369,1.55e-05,4,0.78,0,147840,-6.065,0.312,0,R3HAB,Party Girl,57
0.636,0.196,122.996,0.0314,0.00295,0.00059,4,0.731,0,183943,-6.845,0.703,1,Surf Mesa,Somewhere (feat. Gus Dapperton),56
0.821,0.185,118.015,0.134,0.219,0.00177,4,0.905,10,183036,-4.7,0.618,1,Boyzinho o Rei da Bregadeira,Flexionamento,27
0.527,0.0837,129.915,0.306,0.378,3.52e-05,4,0.883,9,166154,-4.138,0.755,0,Mc Davi,Nas Alturas,35
0.596,0.22,115.318,0.19,0.18,0.0,5,0.663,4,232000,-2.81,0.384,0,MC Marks,Jesus Olhou pra Mim,36
0.769,0.157,147.018,0.084,0.155,0.0,4,0.624,1,140041,-5.116,0.6,0,Don Toliver,Clap - From Road To Fast 9 Mixtape,51
